Width,Depth,X,Y,FamilyType
0.5999999046325684,0.19999992847442627,4417.624795675278,736.6486013531684,599x199mm
0.5999999046325684,0.19999992847442627,4425.424796819687,736.6486013531684,599x199mm
0.20000004768280633,0.5999999046325684,4424.024796843529,740.7988315820694,200x599mm
0.19999980926422722,0.6000000238417442,4422.674796819685,740.7986013293266,199x600mm
0.20000004768280633,0.6000000238417442,4420.374796748161,740.7986013293266,200x600mm
0.20000004768371582,0.6000000238417442,4419.024796843529,740.7986013293266,200x600mm
0.20000004768280633,0.6000000238417442,4414.823582291603,740.7986013293266,200x600mm
0.20000004768371582,0.6000000238417442,4428.224796891212,740.7986013293266,200x600mm
0.20000004768280633,0.5999999046325684,4414.823582291603,737.3486013412474,200x599mm
0.20000004768371582,0.5999999046325684,4428.224796891212,737.3486013412474,200x599mm
0.20000004768280633,0.6000000238418579,4421.524796843529,736.4486013054847,200x600mm
0.19999980926422722,0.5,4431.424796819685,738.1486012935637,199x500mm
0.19999980926422722,0.5,4431.424796819685,740.8486013412474,199x500mm
0.2000000476855348,0.4999999999998863,4411.62479674816,740.8486022949216,200x499mm
0.19999980926422722,0.5,4431.424796819685,735.3986012935637,199x500mm
0.2000000476855348,0.5,4411.62479674816,735.3986012935637,200x500mm
0.20000004768189683,0.5,4414.824796795844,733.3486013412474,200x500mm
0.20000004768189683,0.5,4417.824796795844,733.3486013412474,200x500mm
0.20000004768280633,0.5,4421.524796843529,733.3486013412474,200x500mm
0.20000004768280633,0.5,4425.2247968912125,733.3486013412474,200x500mm
0.20000004768371582,0.5,4428.224796891212,733.3486013412474,200x500mm
0.2000000476855348,0.5,4411.62479674816,738.1486012935637,200x500mm
0.5,0.19999992847431258,4430.574796915053,732.4086013436317,500x199mm
0.5,0.19999992847431258,4412.469796895981,732.4086013436317,500x199mm
